City,State,Zipcode,Gender,Less than 5 minutes,5 to 9 minutes,10 to 14 minutes,15 to 19 minutes,20 to 24 minutes,25 to 29 minutes,30 to 34 minutes,35 to 39 minutes,40 to 44 minutes,45 to 59 minutes,60 to 89 minutes,90 or more minutes,1 to 2499 USD,2500 to 4999 USD,5000 to 7499 USD,7500 to 9999 USD,10000 to 12499 USD,12500 to 14999 USD,15000 to 17499 USD,17500 to 19999 USD,20000 to 22499 USD,22500 to 24999 USD,25000 to 29999 USD,30000 to 34999 USD,35000 to 39999 USD,40000 to 44999 USD,45000 to 49999 USD,50000 to 54999 USD,55000 to 64999 USD,65000 to 74999 USD,75000 to 99999 USD,100000 or more USD,Year
El Cajon city, California,21712,Male,511.0,2166.0,2868.0,2863.0,4109.0,2621.0,4052.0,410.0,385.0,1138.0,545.0,520.0,835.0,1955.0,1381.0,1159.0,3034.0,1165.0,1732.0,865.0,2164.0,1192.0,1512.0,1698.0,926.0,1082.0,1620.0,1066.0,1014.0,727.0,791.0,1956.0,2013
Elk Grove city, California,22020,Male,852.0,1168.0,3035.0,3687.0,3311.0,3305.0,6236.0,1451.0,1840.0,4543.0,874.0,1424.0,1457.0,1677.0,960.0,773.0,2463.0,331.0,1587.0,711.0,926.0,797.0,799.0,2027.0,2936.0,2669.0,2505.0,1523.0,3410.0,2691.0,4045.0,4363.0,2013
El Monte city, California,22230,Male,0.0,998.0,1171.0,2490.0,3976.0,862.0,6436.0,331.0,576.0,4296.0,4614.0,898.0,711.0,806.0,609.0,1125.0,1445.0,1330.0,3264.0,2098.0,2593.0,1481.0,3054.0,2555.0,877.0,1595.0,618.0,823.0,1088.0,518.0,789.0,1029.0,2013
Escondido city, California,22804,Male,477.0,2009.0,4985.0,5477.0,4262.0,2102.0,5405.0,1857.0,2385.0,2718.0,1845.0,635.0,1388.0,1607.0,670.0,1401.0,2300.0,1144.0,2909.0,1076.0,2336.0,2742.0,4140.0,3604.0,1463.0,1639.0,1521.0,1838.0,1589.0,1047.0,2084.0,3097.0,2013
Fairfield city, California,23182,Male,229.0,2235.0,3734.0,2963.0,2896.0,1511.0,2584.0,586.0,549.0,1944.0,2838.0,2159.0,2047.0,490.0,1365.0,226.0,2334.0,391.0,838.0,1229.0,1708.0,801.0,1845.0,1535.0,967.0,1448.0,1657.0,2058.0,1807.0,1232.0,2673.0,3020.0,2013
Folsom city, California,24638,Male,133.0,1046.0,4241.0,2939.0,1957.0,1330.0,996.0,580.0,982.0,794.0,971.0,569.0,675.0,158.0,215.0,298.0,449.0,76.0,87.0,92.0,313.0,352.0,291.0,706.0,560.0,801.0,319.0,480.0,1582.0,1092.0,3758.0,5819.0,2013
Fontana city, California,24680,Male,288.0,3597.0,4729.0,6950.0,7118.0,3277.0,6344.0,943.0,1617.0,3633.0,5730.0,2791.0,1810.0,1924.0,3777.0,1814.0,2862.0,2146.0,1915.0,2116.0,2303.0,1286.0,2970.0,4032.0,3184.0,4642.0,2414.0,2365.0,3176.0,2570.0,3907.0,2466.0,2013
Fremont city, California,26000,Male,467.0,1738.0,3645.0,5079.0,5234.0,2397.0,8693.0,1785.0,3253.0,7036.0,4371.0,914.0,1720.0,1272.0,1297.0,924.0,1861.0,967.0,885.0,1226.0,1337.0,1639.0,2466.0,2925.0,1355.0,3015.0,2059.0,2391.0,2801.0,3240.0,7957.0,23933.0,2013
Fresno city, California,27000,Male,1454.0,7940.0,14528.0,30857.0,17237.0,3611.0,9627.0,786.0,1097.0,3730.0,3028.0,2583.0,7841.0,5491.0,6051.0,5545.0,6987.0,3276.0,6951.0,5339.0,6093.0,3444.0,6644.0,7284.0,6307.0,4724.0,4674.0,5652.0,6919.0,4623.0,5739.0,6709.0,2013
Fullerton city, California,28000,Male,825.0,1721.0,3625.0,4982.0,4510.0,1159.0,6161.0,1085.0,1760.0,3109.0,3136.0,857.0,1210.0,1464.0,1236.0,902.0,1200.0,900.0,2329.0,1408.0,2811.0,2149.0,2890.0,1544.0,2280.0,1313.0,1165.0,2131.0,2649.0,1689.0,2566.0,4816.0,2013
Garden Grove city, California,29000,Male,287.0,1509.0,5364.0,7367.0,8200.0,3540.0,8616.0,1161.0,1941.0,3053.0,2593.0,1028.0,1653.0,1807.0,1284.0,1452.0,3380.0,2422.0,2928.0,2036.0,2868.0,1280.0,3052.0,4178.0,2546.0,3548.0,2481.0,2316.0,2797.0,1891.0,2932.0,2867.0,2013
Glendale city, California,30000,Male,624.0,2564.0,4897.0,6856.0,4441.0,2437.0,6920.0,1910.0,3100.0,3722.0,4672.0,548.0,2489.0,1769.0,2071.0,1633.0,2992.0,1885.0,2124.0,1803.0,2830.0,1088.0,3232.0,2789.0,2109.0,2150.0,1354.0,2130.0,3143.0,2895.0,3797.0,7329.0,2013
